-0.20310275,0.52040315,-0.82941544
0.19814469,0.52100021,-0.83023947
0.40295652,0.17691961,-0.89795637
-0.4029828,0.73252445,-0.54864615
-0.20142914,0.94223893,-0.26760474
-0.85280317,0.5190841,-0.05725776
-0.73123986,0.52098638,-0.4402971
-0.40727106,0.17740798,-0.8959111
-0.73299521,0.17742425,-0.65668768
-0.65043533,0.7307148,0.20734003
-0.32242182,0.94100142,0.10276438
-0.32484514,0.52033502,0.78976405
-0.65038419,0.52087009,0.55289674
-0.97862959,0.17693058,0.10478441
-0.85485512,0.17699689,0.48774478
0.0014228,0.73230237,0.68097812
0.00188504,0.94206589,0.33542258
0.65419579,0.52030891,0.5489139
0.32881218,0.52125597,0.78751171
0.1982332,-0.17712463,-0.96401787
0.20327848,0.17713019,0.96296567
0.65059608,0.73115325,0.20527986
0.3233158,0.94126832,0.09737104
0.19984515,0.9411909,-0.27243632
0.40381688,0.73230076,-0.54833186
0.73294544,0.17725098,-0.6567899
0.72909909,0.52008259,-0.44489142
0.85206676,0.51972455,-0.06219687
0.85734463,0.17772307,0.48308867
0.97923827,0.17705177,0.098717
0,0,0
-0.20310275,0.52040315,-0.82941544
0.19814469,0.52100021,-0.83023947
0.40295652,0.17691961,-0.89795637
-0.4029828,0.73252445,-0.54864615
-0.20142914,0.94223893,-0.26760474
-0.85280317,0.5190841,-0.05725776
-0.73123986,0.52098638,-0.4402971
-0.40727106,0.17740798,-0.8959111
-0.73299521,0.17742425,-0.65668768
-0.65043533,0.7307148,0.20734003
-0.32242182,0.94100142,0.10276438
-0.32484514,0.52033502,0.78976405
-0.65038419,0.52087009,0.55289674
-0.97862959,0.17693058,0.10478441
